year,density,centralization,n_nodes,n_edges
2005,0.0242,0.3604,118,334
2010,0.0263,0.3989,128,428
2015,0.0275,0.4839,132,476
2020,0.025,0.536,124,381
2025,0.0277,0.5353,120,396
