year,in_degree,in_tiv,out_degree,out_tiv
2005,0,0.0,25,5198.9
2010,2,24.7,37,6226.7
2015,6,113.4,30,5798.7
2020,1,0.5,22,3660.0
2025,3,128.9,11,1941.5
