year,component_tiv,platform_tiv,component_share_pct
2005,2296.5,19092.6,10.74
2010,2598.3,23234.1,10.06
2015,3332.5,25389.3,11.6
2020,2516.6,21538.1,10.46
2025,2731.9,30802.8,8.15
